Paper_No,Molecular_Markers,Paper_ID,Year_sampled,IUCN_Category3,Sampling_size,Latitude,Latitude_Clade,Longitude,He,He_fit
P29_2,ISSR,Baggio_et_al,2001,Rare,20,-23.946,South_temper,-51.883,0.165,0.202950589
P29_3,ISSR,Baggio_et_al,2001,Rare,17,-25.368,South_temper,-48.701,0.175,0.214438525
P29_4,ISSR,Baggio_et_al,2001,Rare,16,-25.368,South_temper,-48.701,0.16,0.214438525
P29_5,ISSR,Baggio_et_al,2001,Rare,16,-24.836,South_temper,-48.588,0.156,0.204948275
P30_1,ISSR,Zhang_et_al,2005,Common,19,24.283,North_temper,123.867,0.159,0.19833801
P30_2,ISSR,Zhang_et_al,2005,Common,12,24.3,North_temper,123.85,0.103,0.198396452
P30_3,ISSR,Zhang_et_al,2005,Common,18,24.417,North_temper,124.167,0.162,0.198081007
P30_4,ISSR,Zhang_et_al,2005,Common,20,19.917,North_tropical,110.583,0.143,0.121835718
P30_5,ISSR,Zhang_et_al,2005,Common,19,18.483,North_tropical,109.75,0.171,0.237393958
P30_6,ISSR,Zhang_et_al,2005,Common,20,18.333,North_tropical,109.5,0.177,0.22786404
P30_7,ISSR,Zhang_et_al,2005,Common,17,22.8,North_tropical,115.017,0.176,0.235432538
P30_8,ISSR,Zhang_et_al,2005,Common,19,23.033,North_tropical,120.133,0.165,0.189277959
P30_9,ISSR,Zhang_et_al,2005,Common,13,13.567,North_tropical,100.433,0.175,0.211118452
P30_10,ISSR,Zhang_et_al,2005,Common,20,9.217,North_tropical,99.833,0.186,0.232542292
P30_11,ISSR,Zhang_et_al,2005,Common,16,1.367,North_tropical,103.95,0.179,0.227768641
P30_12,ISSR,Zhang_et_al,2005,Common,17,8.317,North_tropical,98.417,0.189,0.247203948
P30_13,ISSR,Zhang_et_al,2005,Common,20,8.3,North_tropical,98.433,0.196,0.247215619
P30_14,ISSR,Zhang_et_al,2005,Common,10,6.067,North_tropical,80.8,0.107,0.250322546
P30_15,ISSR,Zhang_et_al,2005,Common,20,-16,South_tropical,145.3,0.134,0.240627209
P30_16,ISSR,Zhang_et_al,2005,Common,14,-16.267,South_tropical,145.433,0.114,0.233529039
P31_1,AFLP,Schierenbeck_&_Phipps,2008,Rare,23,39.9662,North_temper,-123.0181,0.3802,0.157911867
